Transaction_ID,Date,Year,Month_Num,Month_Name,Quarter,Product_ID,Product_Name,Category,Customer_ID,Customer_Name,Region,Segment,Salesperson_ID,Salesperson_Name,Units_Sold,Unit_Price,Gross_Revenue,Discount,Net_Revenue,COGS,Gross_Profit,GP_Margin_Pct
TXN-1010,2022-01-04,2022,1,January,Q1,P003,Office Chair,Furniture,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,7,359.53,2516.71,0.0,2516.71,1384.19,1132.52,45.0
TXN-1011,2022-01-05,2022,1,January,Q1,P003,Office Chair,Furniture,C009,Iota Ltd,West,SMB,S04,Fatima Noor,6,347.89,2087.34,0.0,2087.34,1148.04,939.3,45.0
TXN-1012,2022-01-05,2022,1,January,Q1,P009,Webcam HD,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,2,75.58,151.16,0.0,151.16,66.51,84.65,56.0
TXN-1013,2022-01-05,2022,1,January,Q1,P006,Accounting Software,Software,C007,Eta Retail,South,SMB,S02,Sara Khan,3,285.17,855.51,85.55,769.96,171.1,598.86,77.78
TXN-1014,2022-01-05,2022,1,January,Q1,P006,Accounting Software,Software,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,13,317.4,4126.2,206.31,3919.89,825.24,3094.65,78.95
TXN-1015,2022-01-05,2022,1,January,Q1,P003,Office Chair,Furniture,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,8,363.72,2909.76,290.98,2618.78,1600.37,1018.41,38.89
TXN-1016,2022-01-05,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,19,442.76,8412.44,0.0,8412.44,4037.97,4374.47,52.0
TXN-1017,2022-01-06,2022,1,January,Q1,P009,Webcam HD,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,2,83.56,167.12,0.0,167.12,73.53,93.59,56.0
TXN-1018,2022-01-06,2022,1,January,Q1,P003,Office Chair,Furniture,C011,Lambda Services,North,SMB,S06,Zara Sheikh,20,325.56,6511.2,325.56,6185.64,3581.16,2604.48,42.11
TXN-1019,2022-01-06,2022,1,January,Q1,P010,Headset Pro,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,18,157.6,2836.8,0.0,2836.8,1304.93,1531.87,54.0
TXN-1020,2022-01-07,2022,1,January,Q1,P009,Webcam HD,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,4,76.39,305.56,0.0,305.56,134.45,171.11,56.0
TXN-1021,2022-01-07,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,17,98.98,1682.66,168.27,1514.39,706.72,807.67,53.33
TXN-1022,2022-01-08,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C011,Lambda Services,North,SMB,S01,Ali Raza,5,440.92,2204.6,0.0,2204.6,1058.21,1146.39,52.0
TXN-1023,2022-01-08,2022,1,January,Q1,P009,Webcam HD,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,20,76.78,1535.6,0.0,1535.6,675.66,859.94,56.0
TXN-1024,2022-01-09,2022,1,January,Q1,P006,Accounting Software,Software,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,2,286.6,573.2,57.32,515.88,114.64,401.24,77.78
TXN-1025,2022-01-09,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,3,37.68,113.04,11.3,101.74,45.22,56.52,55.55
TXN-1026,2022-01-10,2022,1,January,Q1,P003,Office Chair,Furniture,C011,Lambda Services,North,SMB,S06,Zara Sheikh,18,331.25,5962.5,596.25,5366.25,3279.38,2086.87,38.89
TXN-1027,2022-01-10,2022,1,January,Q1,P010,Headset Pro,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,18,155.09,2791.62,0.0,2791.62,1284.15,1507.47,54.0
TXN-1028,2022-01-10,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,15,478.77,7181.55,359.08,6822.47,3447.14,3375.33,49.47
TXN-1029,2022-01-11,2022,1,January,Q1,P004,Standing Desk,Furniture,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,11,572.49,6297.39,629.74,5667.65,3652.49,2015.16,35.56
TXN-1030,2022-01-11,2022,1,January,Q1,P004,Standing Desk,Furniture,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,1,577.44,577.44,0.0,577.44,334.92,242.52,42.0
TXN-1031,2022-01-12,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,3,35.08,105.24,0.0,105.24,42.1,63.14,60.0
TXN-1032,2022-01-12,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,19,96.16,1827.04,0.0,1827.04,767.36,1059.68,58.0
TXN-1033,2022-01-12,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,4,88.87,355.48,17.77,337.71,149.3,188.41,55.79
TXN-1034,2022-01-13,2022,1,January,Q1,P007,ERP License,Software,C007,Eta Retail,South,SMB,S02,Sara Khan,2,1849.93,3699.86,0.0,3699.86,665.97,3033.89,82.0
TXN-1035,2022-01-13,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,4,1151.74,4606.96,0.0,4606.96,2395.62,2211.34,48.0
TXN-1036,2022-01-13,2022,1,January,Q1,P009,Webcam HD,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,14,75.0,1050.0,52.5,997.5,462.0,535.5,53.68
TXN-1037,2022-01-13,2022,1,January,Q1,P004,Standing Desk,Furniture,C002,Beta Industries,South,SMB,S02,Sara Khan,18,580.11,10441.98,1044.2,9397.78,6056.35,3341.43,35.56
TXN-1038,2022-01-14,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,14,34.92,488.88,0.0,488.88,195.55,293.33,60.0
TXN-1039,2022-01-14,2022,1,January,Q1,P007,ERP License,Software,C001,Alpha Corp,North,Enterprise,S01,Ali Raza,13,1656.62,21536.06,1076.8,20459.26,3876.49,16582.77,81.05
TXN-1040,2022-01-15,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,18,97.46,1754.28,87.71,1666.57,736.8,929.77,55.79
TXN-1041,2022-01-15,2022,1,January,Q1,P003,Office Chair,Furniture,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,7,376.25,2633.75,263.38,2370.37,1448.56,921.81,38.89
TXN-1042,2022-01-15,2022,1,January,Q1,P009,Webcam HD,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,2,73.31,146.62,7.33,139.29,64.51,74.78,53.69
TXN-1043,2022-01-15,2022,1,January,Q1,P009,Webcam HD,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,2,84.82,169.64,0.0,169.64,74.64,95.0,56.0
TXN-1044,2022-01-16,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,8,34.46,275.68,27.57,248.11,110.27,137.84,55.56
TXN-1045,2022-01-16,2022,1,January,Q1,P004,Standing Desk,Furniture,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,20,578.53,11570.6,1157.06,10413.54,6710.95,3702.59,35.56
TXN-1046,2022-01-16,2022,1,January,Q1,P010,Headset Pro,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,9,141.95,1277.55,0.0,1277.55,587.67,689.88,54.0
TXN-1047,2022-01-17,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,10,446.92,4469.2,0.0,4469.2,2145.22,2323.98,52.0
TXN-1048,2022-01-17,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,3,1207.23,3621.69,362.17,3259.52,1883.28,1376.24,42.22
TXN-1049,2022-01-17,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C003,Gamma LLC,East,SMB,S03,Ahmed Malik,3,477.31,1431.93,0.0,1431.93,687.33,744.6,52.0
TXN-1050,2022-01-18,2022,1,January,Q1,P003,Office Chair,Furniture,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,20,377.1,7542.0,754.2,6787.8,4148.1,2639.7,38.89
TXN-1051,2022-01-18,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C011,Lambda Services,North,SMB,S06,Zara Sheikh,4,1284.27,5137.08,0.0,5137.08,2671.28,2465.8,48.0
TXN-1052,2022-01-18,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,18,425.19,7653.42,0.0,7653.42,3673.64,3979.78,52.0
TXN-1053,2022-01-18,2022,1,January,Q1,P010,Headset Pro,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,7,153.47,1074.29,0.0,1074.29,494.17,580.12,54.0
TXN-1054,2022-01-19,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,3,97.04,291.12,0.0,291.12,122.27,168.85,58.0
TXN-1055,2022-01-19,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,5,1226.33,6131.65,0.0,6131.65,3188.46,2943.19,48.0
TXN-1056,2022-01-19,2022,1,January,Q1,P003,Office Chair,Furniture,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,18,361.52,6507.36,650.74,5856.62,3579.05,2277.57,38.89
TXN-1057,2022-01-19,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,5,1208.75,6043.75,0.0,6043.75,3142.75,2901.0,48.0
TXN-1058,2022-01-19,2022,1,January,Q1,P010,Headset Pro,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,14,140.12,1961.68,0.0,1961.68,902.37,1059.31,54.0
TXN-1059,2022-01-19,2022,1,January,Q1,P006,Accounting Software,Software,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,7,307.71,2153.97,0.0,2153.97,430.79,1723.18,80.0
TXN-1060,2022-01-20,2022,1,January,Q1,P009,Webcam HD,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,8,83.61,668.88,0.0,668.88,294.31,374.57,56.0
TXN-1061,2022-01-20,2022,1,January,Q1,P007,ERP License,Software,C001,Alpha Corp,North,Enterprise,S01,Ali Raza,11,1881.33,20694.63,1034.73,19659.9,3725.03,15934.87,81.05
TXN-1062,2022-01-20,2022,1,January,Q1,P004,Standing Desk,Furniture,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,4,608.35,2433.4,0.0,2433.4,1411.37,1022.03,42.0
TXN-1063,2022-01-20,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,15,92.71,1390.65,0.0,1390.65,584.07,806.58,58.0
TXN-1064,2022-01-21,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C011,Lambda Services,North,SMB,S01,Ali Raza,13,1167.03,15171.39,0.0,15171.39,7889.12,7282.27,48.0
TXN-1065,2022-01-21,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,18,437.84,7881.12,0.0,7881.12,3782.94,4098.18,52.0
TXN-1066,2022-01-21,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,19,37.59,714.21,0.0,714.21,285.68,428.53,60.0
TXN-1067,2022-01-22,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,12,36.28,435.36,0.0,435.36,174.14,261.22,60.0
TXN-1068,2022-01-22,2022,1,January,Q1,P007,ERP License,Software,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,13,1915.06,24895.78,0.0,24895.78,4481.24,20414.54,82.0
TXN-1069,2022-01-23,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,1,1203.82,1203.82,120.38,1083.44,625.99,457.45,42.22
TXN-1070,2022-01-23,2022,1,January,Q1,P004,Standing Desk,Furniture,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,3,664.53,1993.59,0.0,1993.59,1156.28,837.31,42.0
TXN-1071,2022-01-23,2022,1,January,Q1,P010,Headset Pro,Electronics,C006,Zeta Solutions,North,Enterprise,S01,Ali Raza,10,149.17,1491.7,74.59,1417.11,686.18,730.93,51.58
TXN-1072,2022-01-23,2022,1,January,Q1,P006,Accounting Software,Software,C007,Eta Retail,South,SMB,S02,Sara Khan,18,281.17,5061.06,253.05,4808.01,1012.21,3795.8,78.95
TXN-1073,2022-01-24,2022,1,January,Q1,P003,Office Chair,Furniture,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,13,352.68,4584.84,0.0,4584.84,2521.66,2063.18,45.0
TXN-1074,2022-01-24,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,14,470.57,6587.98,658.8,5929.18,3162.23,2766.95,46.67
TXN-1075,2022-01-24,2022,1,January,Q1,P006,Accounting Software,Software,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,15,307.4,4611.0,461.1,4149.9,922.2,3227.7,77.78
TXN-1076,2022-01-24,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,3,91.71,275.13,27.51,247.62,115.55,132.07,53.34
TXN-1077,2022-01-24,2022,1,January,Q1,P006,Accounting Software,Software,C002,Beta Industries,South,SMB,S02,Sara Khan,10,285.83,2858.3,0.0,2858.3,571.66,2286.64,80.0
TXN-1078,2022-01-25,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C001,Alpha Corp,North,Enterprise,S01,Ali Raza,16,1221.36,19541.76,0.0,19541.76,10161.72,9380.04,48.0
TXN-1079,2022-01-25,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,13,94.91,1233.83,0.0,1233.83,518.21,715.62,58.0
TXN-1080,2022-01-25,2022,1,January,Q1,P003,Office Chair,Furniture,C011,Lambda Services,North,SMB,S01,Ali Raza,4,365.59,1462.36,0.0,1462.36,804.3,658.06,45.0
TXN-1081,2022-01-26,2022,1,January,Q1,P009,Webcam HD,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,18,75.83,1364.94,0.0,1364.94,600.57,764.37,56.0
TXN-1082,2022-01-26,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C003,Gamma LLC,East,SMB,S03,Ahmed Malik,17,102.42,1741.14,174.11,1567.03,731.28,835.75,53.33
TXN-1083,2022-01-26,2022,1,January,Q1,P006,Accounting Software,Software,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,18,296.41,5335.38,0.0,5335.38,1067.08,4268.3,80.0
TXN-1084,2022-01-27,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,9,99.04,891.36,89.14,802.22,374.37,427.85,53.33
TXN-1085,2022-01-27,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C011,Lambda Services,North,SMB,S01,Ali Raza,9,94.09,846.81,0.0,846.81,355.66,491.15,58.0
TXN-1086,2022-01-27,2022,1,January,Q1,P004,Standing Desk,Furniture,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,11,658.99,7248.89,0.0,7248.89,4204.36,3044.53,42.0
TXN-1087,2022-01-27,2022,1,January,Q1,P003,Office Chair,Furniture,C003,Gamma LLC,East,SMB,S03,Ahmed Malik,13,360.86,4691.18,0.0,4691.18,2580.15,2111.03,45.0
TXN-1088,2022-01-27,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,11,35.24,387.64,19.38,368.26,155.06,213.2,57.89
TXN-1089,2022-01-28,2022,1,January,Q1,P004,Standing Desk,Furniture,C007,Eta Retail,South,SMB,S02,Sara Khan,19,664.25,12620.75,0.0,12620.75,7320.03,5300.72,42.0
TXN-1090,2022-01-28,2022,1,January,Q1,P010,Headset Pro,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,1,159.55,159.55,0.0,159.55,73.39,86.16,54.0
TXN-1091,2022-01-29,2022,1,January,Q1,P007,ERP License,Software,C009,Iota Ltd,West,SMB,S04,Fatima Noor,16,1719.19,27507.04,1375.35,26131.69,4951.27,21180.42,81.05
TXN-1092,2022-01-29,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,11,97.57,1073.27,53.66,1019.61,450.77,568.84,55.79
TXN-1093,2022-01-29,2022,1,January,Q1,P003,Office Chair,Furniture,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,20,351.91,7038.2,351.91,6686.29,3871.01,2815.28,42.11
TXN-1094,2022-01-29,2022,1,January,Q1,P010,Headset Pro,Electronics,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,3,152.4,457.2,0.0,457.2,210.31,246.89,54.0
TXN-1095,2022-01-29,2022,1,January,Q1,P008,Mechanical Keyboard,Electronics,C003,Gamma LLC,East,SMB,S03,Ahmed Malik,9,93.16,838.44,0.0,838.44,352.14,486.3,58.0
TXN-1096,2022-01-30,2022,1,January,Q1,P006,Accounting Software,Software,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,9,311.06,2799.54,139.98,2659.56,559.91,2099.65,78.95
TXN-1097,2022-01-30,2022,1,January,Q1,P005,Monitor 27inch,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,1,467.93,467.93,0.0,467.93,224.61,243.32,52.0
TXN-1098,2022-01-30,2022,1,January,Q1,P006,Accounting Software,Software,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,2,311.16,622.32,0.0,622.32,124.46,497.86,80.0
TXN-1099,2022-01-30,2022,1,January,Q1,P004,Standing Desk,Furniture,C001,Alpha Corp,North,Enterprise,S01,Ali Raza,8,582.92,4663.36,0.0,4663.36,2704.75,1958.61,42.0
TXN-1100,2022-01-30,2022,1,January,Q1,P010,Headset Pro,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,9,155.36,1398.24,0.0,1398.24,643.19,755.05,54.0
TXN-1101,2022-01-31,2022,1,January,Q1,P010,Headset Pro,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,6,160.08,960.48,0.0,960.48,441.82,518.66,54.0
TXN-1102,2022-01-31,2022,1,January,Q1,P010,Headset Pro,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,19,153.23,2911.37,145.57,2765.8,1339.23,1426.57,51.58
TXN-1103,2022-01-31,2022,1,January,Q1,P007,ERP License,Software,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,3,1826.52,5479.56,0.0,5479.56,986.32,4493.24,82.0
TXN-1104,2022-01-31,2022,1,January,Q1,P002,Wireless Mouse,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,20,36.71,734.2,73.42,660.78,293.68,367.1,55.56
TXN-1105,2022-01-31,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,12,1117.24,13406.88,0.0,13406.88,6971.58,6435.3,48.0
TXN-1106,2022-01-31,2022,1,January,Q1,P001,Laptop Pro 15,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,4,1187.24,4748.96,0.0,4748.96,2469.46,2279.5,48.0
TXN-1107,2022-02-01,2022,2,February,Q1,P003,Office Chair,Furniture,C007,Eta Retail,South,SMB,S02,Sara Khan,17,376.07,6393.19,0.0,6393.19,3516.25,2876.94,45.0
TXN-1108,2022-02-01,2022,2,February,Q1,P010,Headset Pro,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,15,147.46,2211.9,221.19,1990.71,1017.47,973.24,48.89
TXN-1109,2022-02-01,2022,2,February,Q1,P005,Monitor 27inch,Electronics,C006,Zeta Solutions,North,Enterprise,S01,Ali Raza,3,434.08,1302.24,65.11,1237.13,625.08,612.05,49.47
TXN-1110,2022-02-01,2022,2,February,Q1,P004,Standing Desk,Furniture,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,11,573.25,6305.75,0.0,6305.75,3657.33,2648.42,42.0
TXN-1111,2022-02-01,2022,2,February,Q1,P003,Office Chair,Furniture,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,12,366.68,4400.16,0.0,4400.16,2420.09,1980.07,45.0
TXN-1112,2022-02-02,2022,2,February,Q1,P010,Headset Pro,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,18,137.32,2471.76,0.0,2471.76,1137.01,1334.75,54.0
TXN-1113,2022-02-02,2022,2,February,Q1,P002,Wireless Mouse,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,16,35.31,564.96,0.0,564.96,225.98,338.98,60.0
TXN-1114,2022-02-02,2022,2,February,Q1,P008,Mechanical Keyboard,Electronics,C011,Lambda Services,North,SMB,S06,Zara Sheikh,15,99.45,1491.75,0.0,1491.75,626.53,865.22,58.0
TXN-1115,2022-02-02,2022,2,February,Q1,P005,Monitor 27inch,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,8,436.05,3488.4,348.84,3139.56,1674.43,1465.13,46.67
TXN-1116,2022-02-03,2022,2,February,Q1,P008,Mechanical Keyboard,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,14,102.55,1435.7,143.57,1292.13,602.99,689.14,53.33
TXN-1117,2022-02-03,2022,2,February,Q1,P006,Accounting Software,Software,C006,Zeta Solutions,North,Enterprise,S06,Zara Sheikh,9,289.75,2607.75,0.0,2607.75,521.55,2086.2,80.0
TXN-1118,2022-02-03,2022,2,February,Q1,P002,Wireless Mouse,Electronics,C012,Mu Technologies,South,Enterprise,S02,Sara Khan,11,32.87,361.57,36.16,325.41,144.63,180.78,55.55
TXN-1119,2022-02-03,2022,2,February,Q1,P003,Office Chair,Furniture,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,16,337.48,5399.68,539.97,4859.71,2969.82,1889.89,38.89
TXN-1120,2022-02-04,2022,2,February,Q1,P010,Headset Pro,Electronics,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,7,144.14,1008.98,0.0,1008.98,464.13,544.85,54.0
TXN-1121,2022-02-04,2022,2,February,Q1,P003,Office Chair,Furniture,C005,Epsilon Trading,Central,SMB,S05,Usman Tariq,18,329.09,5923.62,0.0,5923.62,3257.99,2665.63,45.0
TXN-1122,2022-02-04,2022,2,February,Q1,P001,Laptop Pro 15,Electronics,C009,Iota Ltd,West,SMB,S04,Fatima Noor,5,1226.47,6132.35,306.62,5825.73,3188.82,2636.91,45.26
TXN-1123,2022-02-04,2022,2,February,Q1,P002,Wireless Mouse,Electronics,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,16,34.88,558.08,0.0,558.08,223.23,334.85,60.0
TXN-1124,2022-02-04,2022,2,February,Q1,P003,Office Chair,Furniture,C001,Alpha Corp,North,Enterprise,S06,Zara Sheikh,16,328.39,5254.24,0.0,5254.24,2889.83,2364.41,45.0
TXN-1125,2022-02-04,2022,2,February,Q1,P007,ERP License,Software,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,19,1837.28,34908.32,0.0,34908.32,6283.5,28624.82,82.0
TXN-1126,2022-02-05,2022,2,February,Q1,P003,Office Chair,Furniture,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,3,377.66,1132.98,0.0,1132.98,623.14,509.84,45.0
TXN-1127,2022-02-05,2022,2,February,Q1,P009,Webcam HD,Electronics,C007,Eta Retail,South,SMB,S02,Sara Khan,17,77.49,1317.33,65.87,1251.46,579.63,671.83,53.68
TXN-1128,2022-02-05,2022,2,February,Q1,P005,Monitor 27inch,Electronics,C010,Kappa Inc,Central,Enterprise,S05,Usman Tariq,10,454.94,4549.4,0.0,4549.4,2183.71,2365.69,52.0
TXN-1129,2022-02-06,2022,2,February,Q1,P002,Wireless Mouse,Electronics,C004,Delta Systems,West,Enterprise,S04,Fatima Noor,9,35.9,323.1,0.0,323.1,129.24,193.86,60.0
TXN-1130,2022-02-06,2022,2,February,Q1,P004,Standing Desk,Furniture,C003,Gamma LLC,East,SMB,S03,Ahmed Malik,6,570.67,3424.02,171.2,3252.82,1985.93,1266.89,38.95
TXN-1131,2022-02-06,2022,2,February,Q1,P010,Headset Pro,Electronics,C008,Theta Corp,East,Enterprise,S03,Ahmed Malik,2,142.6,285.2,0.0,285.2,131.19,154.01,54.0
TXN-1132,2022-02-06,2022,2,February,Q1,P008,Mechanical Keyboard,Electronics,C002,Beta Industries,South,SMB,S02,Sara Khan,9,99.37,894.33,89.43,804.9,375.62,429.28,53.33
TXN-1133,2022-02-06,2022,2,February,Q1,P004,Standing Desk,Furniture,C007,Eta Retail,South,SMB,S02,Sara Khan,18,592.7,10668.6,0.0,10668.6,6187.79,4480.81,42.0
